Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0106L1,120.1,0.086055556,270.1,0.479222222,300.1,0.506444444,330.1,0.514944444,0.343434266,0.030337666,0.010388987,2,16,0.574892068,4.526725265,-0.021876395,0.522394444,0.547605555,27,0.58775,0.578657407,870.1,3210.1,-6.31E-05,3240.1,6540.1,-2.07E-05,0.477594595,0.011270587,0,0,0
0107L1,540.1,0.155055556,660.1,0.354694444,690.1,0.434444444,720.1,0.473611111,0.206868305,0.002308284,0.007596101,2,32,0.308086378,0.214186726,-0.00320822,0.460666666,0.527475,31,0.621027778,0.613694445,1020.1,5730.1,-4.95E-05,5760.1,9930.1,-2.65E-05,0.424822024,0.016968642,0,0,0
0107L1,480.1,0.139944444,660.1,0.357694444,690.1,0.437444444,720.1,0.473611111,0.1564056,0.014342974,0.004748473,5,32,0.358158909,0.263674204,-0.002971206,0.461666666,0.529475,31,0.626027778,0.616694445,1020.1,5700.1,-5.06E-05,5730.1,9930.1,-2.67E-05,0.42673089,0.017187296,0,0,0
0107L1,510.1,0.1485,660.1,0.332694444,690.1,0.416444444,720.1,0.463611111,0.161327905,0.007823875,0.005592991,3,32,0.323480433,0.22689742,-0.003128218,0.446266666,0.519075,31,0.620027778,0.612027778,1020.1,5790.1,-5.20E-05,5820.1,9930.1,-2.69E-05,0.41588124,0.017086086,0,0,0
0107L1,480.1,0.141944444,660.1,0.344694444,690.1,0.425444444,720.1,0.465611111,0.147870436,0.013849047,0.004742202,3,32,0.343006355,0.225664472,-0.002986178,0.452666666,0.522675,31,0.622027778,0.612694445,1050.1,5790.1,-4.92E-05,5820.1,9930.1,-2.68E-05,0.425845008,0.016873082,0,0,0
0108L1,210.1,0.063833333,390.1,0.300472222,420.1,0.344111111,450.1,0.388472222,0.258179966,0.018581575,0.007111221,7,23,0.602830254,4.174744405,-0.010497688,0.3801,0.457391667,22,0.566222222,0.558824074,780.1,5700.1,-4.83E-05,5730.1,9930.1,-1.98E-05,0.366688337,0.013080886,0,0,0
0108L1,210.1,0.081833333,390.1,0.338472222,420.1,0.379111111,450.1,0.420472222,0.236626229,0.02800231,0.006375876,7,23,0.620538322,3.787045038,-0.009989238,0.4125,0.484391667,22,0.582222222,0.577490741,750.1,4860.1,-5.05E-05,4890.1,9930.1,-2.24E-05,0.396767916,0.017508906,0,0,0
0108L1,210.1,0.061833333,390.1,0.317472222,420.1,0.359111111,450.1,0.398472222,0.272657956,0.018061852,0.007324265,7,23,0.587858482,4.183652951,-0.010861061,0.3905,0.461691667,22,0.559222222,0.554824074,750.1,5670.1,-4.58E-05,5700.1,9930.1,-1.88E-05,0.373711268,0.012760086,0,0,0
0108L1,210.1,0.063833333,390.1,0.326472222,420.1,0.367111111,450.1,0.404472222,0.272011559,0.017948034,0.007438137,7,22,0.599343301,4.181085182,-0.010869059,0.3971,0.469891667,22,0.567222222,0.564157407,750.1,5670.1,-4.88E-05,5700.1,9930.1,-2.21E-05,0.367795775,0.014855518,0,0,0
0109L1,120.1,0.105055556,210.1,0.354833333,240.1,0.417944444,270.1,0.441222222,0.405719627,0.025437562,0.012630339,3,15,0.51732218,3.943336026,-0.021919473,0.432277777,0.475527778,14,0.532472222,0.521490741,510.1,5670.1,-4.95E-05,5700.1,9930.1,-2.23E-05,0.319506944,0.015095654,0,0,0
0109L1,90.1,0.070333333,210.1,0.364833333,240.1,0.434944444,270.1,0.460222222,0.411548697,0.026912106,0.012534022,2,15,0.534836966,3.809728772,-0.021382351,0.448077777,0.490627778,14,0.549472222,0.536824074,510.1,4170.1,-6.82E-05,4200.1,9930.1,-2.33E-05,0.338736328,0.020278642,0,0,0
0109L1,90.1,0.058333333,210.1,0.358833333,240.1,0.426944444,270.1,0.453222222,0.454171087,0.022156813,0.013422333,3,15,0.52642593,4.071038395,-0.022641392,0.441477777,0.485127778,14,0.543472222,0.532157407,510.1,5670.1,-5.15E-05,5700.1,9930.1,-2.31E-05,0.324190141,0.015288741,0,0,0
0109L1,90.1,0.073333333,210.1,0.379833333,240.1,0.445944444,270.1,0.470222222,0.411179327,0.028138628,0.012544603,2,15,0.539268267,3.828473072,-0.021954815,0.458877777,0.499127778,14,0.554472222,0.542490741,510.1,5700.1,-5.05E-05,5730.1,9930.1,-2.40E-05,0.332546296,0.016094196,0,0,0
0110L1,210.1,0.092833333,420.1,0.536111111,450.1,0.563472222,480.1,0.581944444,0.250505096,0.015255677,0.008590041,5,21,0.659214667,5.446993604,-0.015741771,0.582416667,0.605188889,20,0.640888889,0.633166667,690.1,4170.1,-5.74E-05,4200.1,9930.1,-2.51E-05,0.464829282,0.02170635,0,0,0
0110L1,210.1,0.090833333,420.1,0.537111111,450.1,0.568472222,480.1,0.586944444,0.253882666,0.016688027,0.008430542,5,21,0.660747733,5.486211299,-0.016058031,0.586416667,0.610788889,20,0.648888889,0.638833334,690.1,5730.1,-4.60E-05,5760.1,9930.1,-2.43E-05,0.457422024,0.015973472,0,0,0
0110L1,210.1,0.089833333,420.1,0.535111111,450.1,0.567472222,480.1,0.588944444,0.254931187,0.016100613,0.008501296,5,21,0.663520616,5.473733895,-0.015925175,0.586216667,0.611788889,20,0.648888889,0.6405,690.1,5730.1,-4.72E-05,5760.1,9930.1,-2.46E-05,0.455143452,0.016010111,0,0,0
0110L1,210.1,0.091833333,420.1,0.538111111,450.1,0.570472222,480.1,0.589944444,0.252584247,0.017048517,0.008380696,2,21,0.66614744,5.317509854,-0.015546145,0.588616667,0.612388889,20,0.648888889,0.640166667,690.1,5730.1,-4.57E-05,5760.1,9930.1,-2.46E-05,0.45973631,0.016243506,0,0,0
