Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0107C1,1710.1,0.187148329,2640.1,0.663742501,2670.1,0.695303606,2700.1,0.732937541,0.040838476,0.056409955,0.000919488,42,111,2.420680123,5.360965939,-0.001706101,0.733175139,0.830018229,117,1.3100625,1.2995,3480.1,4380.1,-0.000143963,5670.1,12420.1,-1.55E-05,1.167005923,0.018232546,0,0,0
0108C1,1800.1,0.173476476,2040.1,0.395412013,2070.1,0.425260413,2100.1,0.457713235,0.102985786,0.000409288,0.00337892,55,93,0.719464259,12.51778896,-0.006256719,0.458092294,0.530208392,210,0.74315625,0.737760417,2910.1,3720.1,-5.97E-05,7680.1,14970.1,-9.37E-06,0.560416282,0.010765925,0,0,0
0108C1,1770.1,0.165383027,2040.1,0.428199421,2070.1,0.458995856,2100.1,0.492973108,0.105702763,0.000434879,0.003391808,50,88,0.754407723,11.964018,-0.006013963,0.492973565,0.563301969,211,0.8080625,0.806072917,2940.1,4320.1,-6.59E-05,7710.1,14970.1,-9.99E-06,0.60609285,0.011302285,0,0,0
0108C1,8370.1,0.0471875,8700.1,0.90240625,8730.1,0.9673125,8760.1,1.03040625,0.268266889,6.20E-06,0.00131311,278,316,1.667946779,52.87696955,-0.006070283,1.02225625,1.115615625,324,1.7925,1.703822917,0,0,0,0,5970.1,-1.83E-08,2.30E-05,0.000104073,0,0,0
0108C1,1800.1,0.167023385,2010.1,0.367090818,2040.1,0.397622349,2070.1,0.428991621,0.112496492,0.00023468,0.003668982,6,84,0.304580637,0.888467042,-0.001114184,0.430575811,0.50616866,215,0.731625,0.729739583,2820.1,4860.1,-4.84E-05,7800.1,14970.1,-1.38E-05,0.54367474,0.014957053,0,0,0
0109C1,1470.1,0.126921875,1770.1,0.490687125,1800.1,0.544747773,1830.1,0.598521109,0.135223497,0.000209076,0.004394332,42,77,0.972756382,12.43371243,-0.007041227,0.595337689,0.698742927,76,0.94003125,0.934145833,2370.1,4050.1,-0.00014415,6780.1,14970.1,-8.06E-06,0.717374088,0.012104182,0,0,0
0109C1,1620.1,0.20148487,1860.1,0.464888125,1890.1,0.503848183,1920.1,0.541875762,0.104510312,0.000719901,0.003484744,49,93,0.901085888,11.10747899,-0.006020523,0.541294133,0.629679812,183,0.8933125,0.886135417,2880.1,4380.1,-6.84E-05,7530.1,14970.1,-6.31E-06,0.729240085,0.008106775,1890.1,2880.1,0.000616209
0109C1,1470.1,0.162921875,1770.1,0.484677231,1800.1,0.525971727,1830.1,0.565181471,0.109021237,0.000875519,0.003580655,42,77,0.933799199,9.8543041,-0.005614314,0.56380939,0.648003552,183,0.9193125,0.91346875,3060.1,4350.1,-4.93E-05,7410.1,14970.1,-8.46E-06,0.754839303,0.010382229,1800.1,2820.1,0.000531036
0109C1,1710.1,0.233739295,1920.1,0.501315654,1950.1,0.544844877,1980.1,0.587655458,0.109004226,0.000508027,0.003597158,35,90,0.961247148,10.0499043,-0.005291487,0.585622893,0.672867575,87,0.91996875,0.914583333,2640.1,4260.1,-0.000294802,7320.1,14970.1,-6.44E-06,0.645690409,0.009476658,0,0,0
0110C1,3000.1,0.174848123,3180.1,0.335332257,3210.1,0.36280236,3240.1,0.389496445,0.10853402,1.14E-05,0.003230969,91,125,0.694395904,17.54930093,-0.005485463,0.388540228,0.447567064,136,0.6623125,0.66078125,4050.1,8130.1,-0.000125036,11550.1,14970.1,-1.10E-05,0.386701087,0.006412091,0,0,0
