Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0106A1,60.1,0.046,330.1,1.054111111,360.1,1.053277778,390.1,1.060277778,0.347979083,0.101615591,0.007467867,2,17,1.084359915,4.487900823,-0.021944816,1.057966667,1.060894445,261,1.106166667,1.099962963,600.1,1470.1,-0.000167913,2070.1,3090.1,-1.45E-05,1.044544444,0.010305877,0,0,0
0106A1,60.1,0.045,330.1,1.039111111,360.1,1.039277778,390.1,1.051277778,0.348828715,0.097360769,0.007547405,2,15,1.083258122,4.441544249,-0.021381202,1.041766667,1.041694445,14,1.051277778,1.042685185,570.1,1530.1,-0.000256771,3270.1,4110.1,-8.41E-06,0.923713921,0.017845702,0,0,0
0106A1,60.1,0.045,330.1,1.030111111,360.1,1.022277778,390.1,1.032277778,0.347862162,0.092658819,0.0076503,2,17,1.054876911,4.50413889,-0.021679542,1.027766667,1.028294445,223,1.051333333,1.022907407,570.1,1440.1,-0.000194569,3300.1,5220.1,2.00E-06,0.972274359,0.015499692,0,0,0
0106A1,60.1,0.056,330.1,1.049111111,360.1,1.049277778,390.1,1.055277778,0.325594093,0.11603161,0.007080663,2,17,1.079132855,4.349011077,-0.022012423,1.053566667,1.052094445,17,1.065388889,1.061481482,540.1,1530.1,-0.000195623,6870.1,8010.1,3.04E-05,0.927538462,0.014777806,0,0,0
0107A1,510.1,0.126388889,660.1,0.690611111,690.1,0.759388889,720.1,0.797666667,0.33964266,0.000822474,0.010299141,4,28,0.864003438,12.29976756,-0.02060262,0.784155556,0.800066667,27,0.848388889,0.83687037,900.1,4440.1,-7.40E-05,4470.1,8010.1,1.57E-05,0.675604575,0.010910115,0,0,0
0107A1,510.1,0.117388889,750.1,0.936722222,780.1,0.944388889,810.1,0.9405,0.259611815,0.006277367,0.006828235,13,28,1.008278294,11.73210402,-0.018767348,0.936733333,0.926911111,27,0.944388889,0.940537037,960.1,2850.1,-0.000114823,3720.1,8040.1,8.16E-06,0.752603065,0.013628562,0,0,0
0107A1,510.1,0.107388889,750.1,0.944722222,780.1,0.955388889,810.1,0.9495,0.271804277,0.004309458,0.007334391,3,28,1.023559264,12.13381467,-0.019142268,0.946533333,0.938511111,27,0.955388889,0.94987037,960.1,2760.1,-0.000111551,3630.1,8040.1,1.24E-05,0.788843468,0.014085597,0,0,0
0107A1,510.1,0.114388889,750.1,0.904722222,780.1,0.922388889,810.1,0.9145,0.258503001,0.004193393,0.007296075,3,28,1.014752724,10.83706323,-0.016927316,0.912133333,0.903811111,27,0.922388889,0.91387037,960.1,2760.1,-0.000109954,3360.1,6360.1,-9.19E-06,0.758718372,0.010638206,0,0,0
0108A1,390.1,0.093277778,630.1,0.805444444,660.1,0.831611111,690.1,0.831388889,0.269476541,0.009104034,0.007230716,8,24,0.930778909,8.307949332,-0.015741008,0.826566667,0.830455556,274,1.044,1.041148148,0,0,0,0,0,0,0,0,660.1,8280.1,5.83E-05
0108A1,420.1,0.1185,630.1,0.816444444,660.1,0.836611111,690.1,0.835388889,0.275720844,0.009221336,0.007233637,8,24,0.915721887,9.123336227,-0.017371706,0.832766667,0.832455556,261,1.001166667,0.995962963,7920.1,8310.1,3.39E-05,0,0,0,0,0,660.1,7920.1,4.92E-05
0108A1,420.1,0.1375,630.1,0.766444444,660.1,0.795611111,690.1,0.799388889,0.245448328,0.010287399,0.00693413,8,24,0.916568059,7.816684789,-0.014636249,0.792566667,0.798855556,278,1.024444444,0.681351852,7740.1,8310.1,7.06E-06,0,0,0,0,0,660.1,4140.1,9.03E-05
0108A1,390.1,0.104277778,630.1,0.779444444,660.1,0.807611111,690.1,0.810388889,0.251440392,0.009725738,0.00706095,6,24,0.305326978,0.18181892,-0.004969721,0.804566667,0.810755556,278,1.031444444,0.685351852,7770.1,8310.1,1.96E-05,0,0,0,0,0,660.1,7770.1,6.07E-05
0109A1,120.1,0.088166667,360.1,0.993277778,390.1,0.988277778,420.1,0.9805,0.302722674,0.090280739,0.007051886,3,13,1.119030383,4.947090292,-0.020501848,0.984622222,0.969027778,12,0.997111111,0.958481482,540.1,1320.1,-0.000378793,2760.1,8040.1,1.26E-05,0.752087571,0.011924348,0,0,0
0109A1,120.1,0.086166667,360.1,1.000277778,390.1,1.003277778,420.1,0.9865,0.306468701,0.096966165,0.006872958,3,13,1.112331638,4.91552704,-0.020743797,1.004422222,0.998727778,16,1.019666667,1.006185185,570.1,1650.1,-0.000238818,3420.1,8040.1,3.72E-06,0.726651971,0.013415228,0,0,0
0109A1,120.1,0.082166667,360.1,0.985277778,390.1,0.985277778,420.1,0.9695,0.310521738,0.087860369,0.007085815,3,13,1.110229547,4.888158038,-0.020140318,0.980622222,0.961427778,16,0.990666667,0.977518519,540.1,4410.1,-0.000176518,4440.1,8040.1,2.34E-05,0.585818641,0.014821397,0,0,0
0109A1,120.1,0.068166667,360.1,0.976277778,390.1,0.972277778,420.1,0.9565,0.332723933,0.07438525,0.007508629,3,14,1.04615996,5.326814112,-0.021965769,0.961422222,0.936027778,13,0.976277778,0.969555556,510.1,5220.1,-0.000136099,5250.1,8040.1,1.97E-05,0.556833924,0.009865253,0,0,0
0110A1,450.1,0.117666667,780.1,0.284388889,810.1,0.3045,840.1,0.321555556,0.080226078,0.027397086,0.002958298,8,33,0.236986223,0.16270091,-0.002551768,0.318144445,0.337766667,257,0.517888889,0.51362963,7710.1,8310.1,-1.61E-05,0,0,0,0,0,810.1,5280.1,5.99E-05
0110A1,450.1,0.121666667,750.1,0.242722222,780.1,0.269388889,810.1,0.2875,0.06906326,0.035175888,0.002540407,6,33,0.460807176,3.369824384,-0.004655724,0.284133333,0.307611111,247,0.477388889,0.471481482,7470.1,7860.1,-2.03E-06,0,0,0,0,0,780.1,6600.1,4.99E-05
0110A1,780.1,0.257388889,720.1,0.216666667,750.1,0.235722222,780.1,0.257388889,0.086114026,0,0,6,33,0.413573931,3.160999343,-0.004553639,0.253166667,0.277044445,239,0.419388889,0.414925926,7890.1,8310.1,-2.51E-07,0,0,0,0,0,750.1,6660.1,4.00E-05
0110A1,450.1,0.125666667,750.1,0.268722222,780.1,0.296388889,810.1,0.3145,0.076004531,0.032987069,0.002765517,6,33,0.484323416,3.389998497,-0.004777591,0.309933333,0.332011111,278,0.516444444,0.341018518,7860.1,8310.1,7.08E-06,0,0,0,0,0,780.1,6630.1,5.55E-05
0111A1,120.1,0.045166667,360.1,0.993277778,390.1,0.984277778,420.1,0.9775,0.386331375,0.046299005,0.00881178,4,14,1.064355252,6.052024192,-0.023311091,0.974222222,0.946527778,13,0.993277778,0.964888889,540.1,4440.1,-0.000185493,4470.1,8040.1,-1.91E-05,0.487431404,0.01144484,0,0,0
0111A1,120.1,0.051166667,360.1,1.008277778,390.1,1.011277778,420.1,0.9955,0.372613837,0.055960064,0.008355565,3,17,1.031600411,6.228749703,-0.02509664,1.007222222,0.983827778,16,1.020666667,1.005518519,540.1,4470.1,-0.000167264,4500.1,8040.1,-2.14E-05,0.601246965,0.012565084,0,0,0
0111A1,120.1,0.046166667,360.1,0.976277778,390.1,0.974277778,420.1,0.9695,0.381436139,0.052850543,0.008427344,3,14,1.039481919,6.023183743,-0.023775236,0.963022222,0.934827778,13,0.976277778,0.956222222,540.1,5160.1,-0.000150782,5190.1,8040.1,-8.14E-06,0.516782986,0.005578928,0,0,0
0111A1,120.1,0.047166667,360.1,0.977277778,390.1,0.979277778,420.1,0.9685,0.378885437,0.04920702,0.008619947,3,14,1.05630308,5.95569609,-0.023098586,0.960622222,0.929527778,14,0.979277778,0.975018519,540.1,5190.1,-0.00015803,5220.1,8040.1,7.82E-08,0.490750292,0.005029659,0,0,0
0112A1,120.1,0.062166667,300.1,1.107055556,330.1,1.143111111,360.1,1.148277778,0.479940027,0.058092546,0.010153323,3,28,1.184559056,6.279521871,-0.029254131,1.144044445,1.160177778,92,1.339666667,1.331333333,2940.1,4380.1,-2.62E-05,6060.1,8010.1,-1.38E-05,1.273289562,0.005943318,330.1,2940.1,0.000136373
